som_mouse_1_1,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,Part of,Is a,Part of,Is a,Part of,Is a,Part of,Description
0.036444,60,"protein import into nucleus, translocation",biological process,6886,intracellular protein transport,,,,,,,"A protein transport process that contributes to protein import into the nucleus, and that results in the vectorial transfer of a cargo-carrier protein complex through the nuclear pore complex from the cytoplasmic side to the nucleoplasmic side of the nuclear envelope. [GOC:curators, ISBN:0198506732, PMID:14570049, PMID:9126736]"
0.036444,1578,microtubule bundle formation,biological process,226,microtubule cytoskeleton organization,,,,,,,A process that results in a parallel arrangement of microtubules. [GOC:dph]
0.036444,7276,gamete generation,biological process,48609,multicellular organismal reproductive process,,,,,,,"The generation and maintenance of gametes in a multicellular organism. A gamete is a haploid reproductive cell. [GOC:ems, GOC:mtg_sensu]"
0.036444,8652,cellular amino acid biosynthetic process,biological process,6520,cellular amino acid metabolic process,9309,amine biosynthetic process,46394,carboxylic acid biosynthetic process,,,"The chemical reactions and pathways resulting in the formation of amino acids, organic acids containing one or more amino substituents. [ISBN:0198506732]"
0.036444,9117,nucleotide metabolic process,biological process,6753,nucleoside phosphate metabolic process,,,,,,,"The chemical reactions and pathways involving a nucleotide, a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the glycose moiety; may be mono-, di- or triphosphate; this definition includes cyclic nucleotides (nucleoside cyclic phosphates). [GOC:ma]"
0.036444,9987,cellular process,biological process,8150,biological_process,,,,,,,"Any process that is carried out at the cellular level, but not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level. [GOC:go_curators, GOC:isa_complete]"
0.036444,31398,positive regulation of protein ubiquitination,biological process,31396,regulation of protein ubiquitination,31401,positive regulation of protein modification process,,,,,"Any process that activates or increases the frequency, rate or extent of the addition of ubiquitin groups to a protein. [GOC:mah]"
0.036444,31536,positive regulation of exit from mitosis,biological process,7096,regulation of exit from mitosis,90068,positive regulation of cell cycle process,,,,,Any process that activates or increases the rate of progression from anaphase/telophase (high mitotic CDK activity) to G1 (low mitotic CDK activity). [GOC:mah]
0.036444,32147,activation of protein kinase activity,biological process,45860,positive regulation of protein kinase activity,,,,,,,Any process that initiates the activity of an inactive protein kinase. [GOC:mah]
0.036444,32436,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,biological process,31331,positive regulation of cellular catabolic process,32434,regulation of proteasomal ubiquitin-dependent protein catabolic process,45732,positive regulation of protein catabolic process,45862,positive regulation of proteolysis,"Any process that activates or increases the frequency, rate or extent of the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of ubiquitin, and mediated by the proteasome. [GOC:mah]"
0.036444,34446,substrate adhesion-dependent cell spreading,biological process,904,cell morphogenesis involved in differentiation,31589,cell-substrate adhesion,,,,,"The morphogenetic process that results in flattening of a cell as a consequence of its adhesion to a substrate. [GOC:mah, GOC:pf, PMID:17050732]"
0.036444,34644,cellular response to UV,biological process,9411,response to UV,71482,cellular response to light stimulus,,,,,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ultraviolet radiation (UV light) stimulus. Ultraviolet radiation is electromagnetic radiation with a wavelength in the range of 10 to 380 nanometers. [GOC:mah]"
0.036444,43388,positive regulation of DNA binding,biological process,51099,positive regulation of binding,51101,regulation of DNA binding,,,,,"Any process that increases the frequency, rate or extent of DNA binding. DNA binding is any process in which a gene product interacts selectively with DNA (deoxyribonucleic acid). [GOC:dph, GOC:jl, GOC:tb]"
0.036444,43523,regulation of neuron apoptotic process,biological process,42981,regulation of apoptotic process,,,,,,,Any process that modulates the occurrence or rate of cell death by apoptosis in neurons. [GOC:go_curators]
0.036444,45885,positive regulation of survival gene product expression,biological process,10628,positive regulation of gene expression,45884,regulation of survival gene product expression,,,,,"Any process that activates or increases the frequency, rate or extent of survival gene product expression; survival gene products are those that antagonize the apoptotic program. Regulation can be at the transcriptional, translational, or posttranslational level. [GOC:dph, GOC:go_curators, GOC:tb]"
0.036444,60045,positive regulation of cardiac muscle cell proliferation,biological process,8284,positive regulation of cell proliferation,51094,positive regulation of developmental process,51240,positive regulation of multicellular organismal process,60043,regulation of cardiac muscle cell proliferation,"Any process that activates or increases the frequency, rate or extent of cardiac muscle cell proliferation. [GOC:dph, GOC:rph]"
0.036444,60348,bone development,biological process,48856,anatomical structure development,,,,,,,"The process whose specific outcome is the progression of bone over time, from its formation to the mature structure. Bone is the hard skeletal connective tissue consisting of both mineral and cellular components. [GOC:dph]"
0.036444,60445,branching involved in salivary gland morphogenesis,biological process,61138,morphogenesis of a branching epithelium,,,,,,,The process in which the branching structure of the salivary gland is generated and organized. [GOC:dph]
0.036444,60740,prostate gland epithelium morphogenesis,biological process,2009,morphogenesis of an epithelium,3006,developmental process involved in reproduction,,,,,"The process in which the anatomical structures of epithelia of the prostate gland are generated and organized. An epithelium consists of closely packed cells arranged in one or more layers, that covers the outer surfaces of the body or lines any internal cavity or tube. [GOC:dph]"
0.036444,71777,positive regulation of cell cycle cytokinesis,biological process,32467,positive regulation of cytokinesis,71775,regulation of cell cycle cytokinesis,90068,positive regulation of cell cycle process,,,"Any process that activates or increases the frequency, rate or extent of the division of the cytoplasm of a cell, and its separation into two daughter cells, that occurs in the context of cell cycle progression. [GOC:mah]"
0.041746,48286,lung alveolus development,biological process,48856,anatomical structure development,,,,,,,"The process whose specific outcome is the progression of the alveolus over time, from its formation to the mature structure. The alveolus is a sac for holding air in the lungs; formed by the terminal dilation of air passageways. [GOC:mtg_lung, PMID:9751757]"
0.046019,30900,forebrain development,biological process,48856,anatomical structure development,,,,,,,"The process whose specific outcome is the progression of the forebrain over time, from its formation to the mature structure. The forebrain is the anterior of the three primary divisions of the developing chordate brain or the corresponding part of the adult brain (in vertebrates, includes especially the cerebral hemispheres, the thalamus, and the hypothalamus and especially in higher vertebrates is the main control center for sensory and associative information processing, visceral functions, and voluntary motor functions). [http://www2.merriam-webster.com/cgi-bin/mwmednlm?book=Medical&va=forebrain]"
0.049262,6978,"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator",biological process,30330,"DNA damage response, signal transduction by p53 class mediator",42772,"DNA damage response, signal transduction resulting in transcription",,,,,"A cascade of processes induced by the cell cycle regulator phosphoprotein p53, or an equivalent protein, resulting in the induction of the transcription of p21 (also known as WAF1, CIP1 and SDI1) or any equivalent protein, in response to the detection of DNA damage. [PMID:10967424]"
0.049262,10212,response to ionizing radiation,biological process,9314,response to radiation,,,,,,,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a ionizing radiation stimulus. Ionizing radiation is radiation with sufficient energy to remove electrons from atoms and may arise from spontaneous decay of unstable isotopes, resulting in alpha and beta particles and gamma rays. Ionizing radiation also includes X-rays. [PMID:12509526]"
0.049262,30879,mammary gland development,biological process,48732,gland development,,,,,,,"The process whose specific outcome is the progression of the mammary gland over time, from its formation to the mature structure. The mammary gland is a large compound sebaceous gland that in female mammals is modified to secrete milk. Its development starts with the formation of the mammary line and ends as the mature gland cycles between nursing and weaning stages. [PMID:9576833]"
0.049262,48646,anatomical structure formation involved in morphogenesis,biological process,32502,developmental process,,,,,,,"The developmental process pertaining to the initial formation of an anatomical structure from unspecified parts. This process begins with the specific processes that contribute to the appearance of the discrete structure and ends when the structural rudiment is recognizable. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome. [GOC:dph, GOC:jid, GOC:tb]"
0.049262,60425,lung morphogenesis,biological process,9887,organ morphogenesis,,,,,,,The process in which the anatomical structures of the lung are generated and organized. [GOC:dph]
0.049262,70207,protein homotrimerization,biological process,51260,protein homooligomerization,70206,protein trimerization,,,,,"The formation of a protein homotrimer, a macromolecular structure consisting of three noncovalently associated identical subunits. [GOC:hjd]"
0.049422,1658,branching involved in ureteric bud morphogenesis,biological process,48754,branching morphogenesis of a tube,61138,morphogenesis of a branching epithelium,,,,,"The process in which the branching structure of the ureteric bud is generated and organized. The ureteric bud is an epithelial tube that grows out from the metanephric duct. The bud elongates and branches to give rise to the ureter and kidney collecting tubules. [GOC:dph, PMID:16916378]"
0.049422,16567,protein ubiquitination,biological process,32446,protein modification by small protein conjugation,,,,,,,The process in which one or more ubiquitin groups are added to a protein. [GOC:ai]
0.049422,32259,methylation,biological process,8152,metabolic process,,,,,,,The process in which a methyl group is covalently attached to a molecule. [GOC:mah]
0.049422,35264,multicellular organism growth,biological process,32501,multicellular organismal process,40007,growth,,,,,"The increase in size or mass of an entire multicellular organism, as opposed to cell growth. [GOC:bf, GOC:curators, GOC:dph, GOC:tb]"
0.049422,51259,protein oligomerization,biological process,6461,protein complex assembly,,,,,,,"The process of creating protein oligomers, compounds composed of a small number, usually between three and ten, of component monomers; protein oligomers may be composed of different or identical monomers. Oligomers may be formed by the polymerization of a number of monomers or the depolymerization of a large protein polymer. [GOC:ai]"
som_mouse_6_2,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,,Is a,,Is a,,,,Description
0.0019066,413,protein peptidyl-prolyl isomerization,biological process,18208,peptidyl-proline modification,,,,,,,"The modification of a protein by cis-trans isomerization of a proline residue. [GOC:krc, PMID:16959570]"
0.00208,82,G1/S transition of mitotic cell cycle,biological process,22402,cell cycle process,,,,,,,Progression from G1 phase to S phase of the mitotic cell cycle. [GOC:mah]
0.0030222,30199,collagen fibril organization,biological process,30198,extracellular matrix organization,,,,,,,"Any process that determines the size and arrangement of collagen fibrils within an extracellular matrix. [GOC:mah, ISBN:0815316194]"
0.0037494,32964,collagen biosynthetic process,biological process,9059,macromolecule biosynthetic process,32963,collagen metabolic process,,,,,"The chemical reactions and pathways resulting in the formation of collagen, any of a group of fibrous proteins of very high tensile strength that form the main component of connective tissue in animals. Collagen is highly enriched in glycine (some regions are 33% glycine) and proline, occurring predominantly as 3-hydroxyproline (about 20%). [GOC:mah, ISBN:0198506732]"
0.0037494,45078,positive regulation of interferon-gamma biosynthetic process,biological process,42108,positive regulation of cytokine biosynthetic process,45072,regulation of interferon-gamma biosynthetic process,,,,,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of interferon-gamma. [GOC:go_curators]"
0.0061445,1502,cartilage condensation,biological process,16337,cell-cell adhesion,,,,,,,The condensation of mesenchymal cells that have been committed to differentiate into chondrocytes. [ISBN:0878932437]
0.0066531,51726,regulation of cell cycle,biological process,50794,regulation of cellular process,,,,,,,"Any process that modulates the rate or extent of progression through the cell cycle. [GOC:ai, GOC:dph, GOC:tb]"
0.0071381,51781,positive regulation of cell division,biological process,48522,positive regulation of cellular process,51302,regulation of cell division,,,,,"Any process that activates or increases the frequency, rate or extent of cell division. [GOC:ai]"
0.0083931,1501,skeletal system development,biological process,48731,system development,,,,,,,"The process whose specific outcome is the progression of the skeleton over time, from its formation to the mature structure. The skeleton is the bony framework of the body in vertebrates (endoskeleton) or the hard outer envelope of insects (exoskeleton or dermoskeleton). [GOC:dph, GOC:jid, GOC:tb, http://www.stedmans.com/]"
0.0085075,10811,positive regulation of cell-substrate adhesion,biological process,10810,regulation of cell-substrate adhesion,45785,positive regulation of cell adhesion,,,,,"Any process that increases the frequency, rate or extent of cell-substrate adhesion. Cell-substrate adhesion is the attachment of a cell to the underlying substrate via adhesion molecules. [GOC:dph, GOC:pf, GOC:tb]"
0.0090629,6414,translational elongation,biological process,34645,cellular macromolecule biosynthetic process,,,,,,,The successive addition of amino acid residues to a nascent polypeptide chain during protein biosynthesis. [GOC:ems]
0.0090629,7266,Rho protein signal transduction,biological process,7265,Ras protein signal transduction,,,,,,,A series of molecular signals within the cell that are mediated by a member of the Rho family of proteins switching to a GTP-bound active state. [GOC:bf]
0.0090629,21952,central nervous system projection neuron axonogenesis,biological process,21955,central nervous system neuron axonogenesis,,,,,,,"Generation of a long process of a CNS neuron, that carries efferent (outgoing) action potentials from the cell body towards target cells in a different central nervous system region. [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, GOC:mtg_15jun06]"
0.0090629,50776,regulation of immune response,biological process,2682,regulation of immune system process,48583,regulation of response to stimulus,,,,,"Any process that modulates the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus. [GOC:ai]"
0.010021,7160,cell-matrix adhesion,biological process,31589,cell-substrate adhesion,,,,,,,The binding of a cell to the extracellular matrix via adhesion molecules. [GOC:hb]
0.010021,43588,skin development,biological process,8544,epidermis development,,,,,,,"The process whose specific outcome is the progression of the skin over time, from its formation to the mature structure. The skin is the external membranous integument of an animal. In vertebrates the skin generally consists of two layers, an outer nonsensitive and nonvascular epidermis (cuticle or skarfskin) composed of cells which are constantly growing and multiplying in the deeper, and being thrown off in the superficial layers, as well as an inner vascular dermis (cutis, corium or true skin) composed mostly of connective tissue. [GOC:jl, UBERON:0002097]"
0.01168,8380,RNA splicing,biological process,6396,RNA processing,,,,,,,"The process of removing sections of the primary RNA transcript to remove sequences not present in the mature form of the RNA and joining the remaining sections to form the mature form of the RNA. [GOC:krc, GOC:mah]"
0.012477,6978,"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator",biological process,30330,"DNA damage response, signal transduction by p53 class mediator",42772,"DNA damage response, signal transduction resulting in transcription",,,,,"A cascade of processes induced by the cell cycle regulator phosphoprotein p53, or an equivalent protein, resulting in the induction of the transcription of p21 (also known as WAF1, CIP1 and SDI1) or any equivalent protein, in response to the detection of DNA damage. [PMID:10967424]"
0.012477,38032,termination of G-protein coupled receptor signaling pathway,biological process,23021,termination of signal transduction,45744,negative regulation of G-protein coupled receptor protein signaling pathway,,,,,"The signaling process in which G-protein coupled receptor signaling is brought to an end. For example, through the action of GTPase-activating proteins (GAPs) that act to accelerate hydrolysis of GTP to GDP on G-alpha proteins, thereby terminating the transduced signal. [GOC:bf, GOC:signaling]"
0.013488,48146,positive regulation of fibroblast proliferation,biological process,8284,positive regulation of cell proliferation,48145,regulation of fibroblast proliferation,,,,,"Any process that activates or increases the frequency, rate or extent of multiplication or reproduction of fibroblast cells. [GOC:jid]"
0.014582,16055,Wnt receptor signaling pathway,biological process,7166,cell surface receptor signaling pathway,,,,,,,"The series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell and ending with a change in cell state. [GOC:dph, GOC:go_curators, PMID:11532397]"
0.019821,30097,hemopoiesis,biological process,48534,hemopoietic or lymphoid organ development,,,,,,,"The process whose specific outcome is the progression of the myeloid and lymphoid derived organ/tissue systems of the blood and other parts of the body over time, from formation to the mature structure. The site of hemopoiesis is variable during development, but occurs primarily in bone marrow or kidney in many adult vertebrates. [GOC:dgh, ISBN:0198506732]"
0.020685,10942,positive regulation of cell death,biological process,10941,regulation of cell death,48522,positive regulation of cellular process,,,,,"Any process that increases the rate or frequency of cell death. Cell death is the specific activation or halting of processes within a cell so that its vital functions markedly cease, rather than simply deteriorating gradually over time, which culminates in cell death. [GOC:dph, GOC:tb]"
0.020685,30282,bone mineralization,biological process,31214,biomineral tissue development,,,,,,,The deposition of calcium phosphate in bone tissue. [GOC:mah]
0.025428,32321,positive regulation of Rho GTPase activity,biological process,32319,regulation of Rho GTPase activity,32320,positive regulation of Ras GTPase activity,,,,,Any process that activates or increases the activity of a GTPase of the Rho family. [GOC:mah]
0.025428,48754,branching morphogenesis of a tube,biological process,1763,morphogenesis of a branching structure,35239,tube morphogenesis,,,,,"The process in which the anatomical structures of branches in a tube are generated and organized. A tube is a long hollow cylinder. [GOC:dgh, GOC:dph, GOC:jid]"
0.030565,86,G2/M transition of mitotic cell cycle,biological process,22402,cell cycle process,,,,,,,Progression from G2 phase to M phase of the mitotic cell cycle. [GOC:mah]
0.030565,6338,chromatin remodeling,biological process,16568,chromatin modification,,,,,,,"Dynamic structural changes to eukaryotic chromatin occurring throughout the cell division cycle. These changes range from the local changes necessary for transcriptional regulation to global changes necessary for chromosome segregation. [GOC:jid, PMID:12697820]"
0.033437,1503,ossification,biological process,32501,multicellular organismal process,,,,,,,"The formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone or a bony substance. [GOC:mtg_mpo, PMID:17572649]"
0.036074,1942,hair follicle development,biological process,8544,epidermis development,22405,hair cycle process,,,,,"The process whose specific outcome is the progression of the hair follicle over time, from its formation to the mature structure. A hair follicle is a tube-like opening in the epidermis where the hair shaft develops and into which the sebaceous glands open. [GOC:dph, UBERON:0002073]"
0.036074,7528,neuromuscular junction development,biological process,50808,synapse organization,,,,,,,"The process whose specific outcome is the progression of the neuromuscular junction over time, from its formation to the mature structure. [GOC:jid]"
0.036074,42130,negative regulation of T cell proliferation,biological process,42129,regulation of T cell proliferation,50672,negative regulation of lymphocyte proliferation,50868,negative regulation of T cell activation,,,"Any process that stops, prevents or reduces the rate or extent of T cell proliferation. [GOC:jl]"
0.036074,45454,cell redox homeostasis,biological process,19725,cellular homeostasis,50794,regulation of cellular process,,,,,"Any process that maintains the redox environment of a cell or compartment within a cell. [GOC:ai, GOC:dph, GOC:tb]"
0.041932,40008,regulation of growth,biological process,50789,regulation of biological process,,,,,,,"Any process that modulates the frequency, rate or extent of the growth of all or part of an organism so that it occurs at its proper speed, either globally or in a specific part of the organism's development. [GOC:ems, GOC:mah]"
0.041932,48538,thymus development,biological process,48534,hemopoietic or lymphoid organ development,,,,,,,"The process whose specific outcome is the progression of the thymus over time, from its formation to the mature structure. The thymus is a symmetric bi-lobed organ involved primarily in the differentiation of immature to mature T cells, with unique vascular, nervous, epithelial, and lymphoid cell components. [GOC:add, ISBN:0781735149]"
0.041932,50853,B cell receptor signaling pathway,biological process,50851,antigen receptor-mediated signaling pathway,,,,,,,A series of molecular signals initiated by the cross-linking of an antigen receptor on a B cell. [GOC:add]
0.041932,71310,cellular response to organic substance,biological process,10033,response to organic substance,70887,cellular response to chemical stimulus,,,,,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus. [GOC:mah]"
som_mouse_6_3,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,,Is a,,Is a,,,,Description
2.21E-05,48513,organ development,biological process,48856,anatomical structure development,,,,,,,"Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions. [GOC:dph, GOC:jid]"
0.00021469,1843,neural tube closure,biological process,60606,tube closure,,,,,,,"The last step in the formation of the neural tube, where the paired neural folds are brought together and fuse at the dorsal midline. [GOC:dph, ISBN:0878932437]"
0.00028728,1764,neuron migration,biological process,16477,cell migration,,,,,,,The characteristic movement of an immature neuron from germinal zones to specific positions where they will reside as they mature. [GOC:go_curators]
0.0003853,2000573,positive regulation of DNA biosynthetic process,biological process,10557,positive regulation of macromolecule biosynthetic process,31328,positive regulation of cellular biosynthetic process,51054,positive regulation of DNA metabolic process,2000278,regulation of DNA biosynthetic process,"Any process that activates or increases the frequency, rate or extent of DNA biosynthetic process. [GOC:obol]"
0.00093004,1736,establishment of planar polarity,biological process,7164,establishment of tissue polarity,,,,,,,"Coordinated organization of groups of cells in the plane of an epithelium, such that they all orient to similar coordinates. [GOC:dph]"
0.0016891,9888,tissue development,biological process,48856,anatomical structure development,,,,,,,"The process whose specific outcome is the progression of a tissue over time, from its formation to the mature structure. [ISBN:0471245208]"
0.0017961,1836,release of cytochrome c from mitochondria,biological process,8637,apoptotic mitochondrial changes,,,,,,,"The process that results in the movement of cytochrome c from the mitochondrial intermembrane space into the cytosol, which is an early step in apoptosis and leads to caspase activation. [GOC:add, GOC:mah, ISBN:0721639976, PMID:12925707, PMID:9560217]"
0.0021585,1667,ameboidal cell migration,biological process,16477,cell migration,,,,,,,Cell migration that is accomplished by extension and retraction of a pseudopodium. [GOC:dph]
0.0021585,3401,axis elongation,biological process,60560,developmental growth involved in morphogenesis,,,,,,,"The developmental growth that results in the elongation of a line that defines polarity or symmetry in an anatomical structure. [GOC:ascb_2009, GOC:dph, GOC:tb]"
0.0021585,42668,auditory receptor cell fate determination,biological process,48664,neuron fate determination,,,,,,,"The process in which a cell becomes capable of differentiating autonomously into an auditory hair cell regardless of its environment; upon determination, the cell fate cannot be reversed. [GOC:go_curators]"
0.0021585,61205,paramesonephric duct development,biological process,3006,developmental process involved in reproduction,48856,anatomical structure development,,,,,"The process whose specific outcome is the progression of the paramesonephric duct over time, from its formation to the mature structure. Mullerian ducts (or paramesonephric ducts) are paired ducts of the embryo that run down the lateral sides of the urogenital ridge and terminate at the mullerian eminence in the primitive urogenital sinus. In the female, they will develop to form the fallopian tubes, uterus, cervix, and the upper portion of the vagina; in the male, they are lost. These ducts are made of tissue of mesodermal origin. [GOC:dph, GOC:yaf]"
0.0021585,2000484,positive regulation of interleukin-8 secretion,biological process,50715,positive regulation of cytokine secretion,2000482,regulation of interleukin-8 secretion,,,,,"Any process that activates or increases the frequency, rate or extent of interleukin-8 secretion. [GOC:obol]"
0.0028855,10976,positive regulation of neuron projection development,biological process,10975,regulation of neuron projection development,31346,positive regulation of cell projection organization,,,,,"Any process that increases the rate, frequency or extent of neuron projection development. Neuron projection development is the process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites). [GOC:dph, GOC:tb]"
0.0031726,21915,neural tube development,biological process,48856,anatomical structure development,,,,,,,"The process whose specific outcome is the progression of the neural tube over time, from its formation to the mature structure. The mature structure of the neural tube exists when the tube has been segmented into the forebrain, midbrain, hindbrain and spinal cord regions. In addition neural crest has budded away from the epithelium. [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, GOC:mtg_15jun06]"
0.0046903,45747,positive regulation of Notch signaling pathway,biological process,8593,regulation of Notch signaling pathway,9967,positive regulation of signal transduction,,,,,"Any process that activates or increases the frequency, rate or extent of the Notch signaling pathway. [GOC:go_curators]"
0.0046903,90179,planar cell polarity pathway involved in neural tube closure,biological process,60071,"Wnt receptor signaling pathway, planar cell polarity pathway",90178,regulation of establishment of planar polarity involved in neural tube closure,,,,,"The series of molecular signals initiated by binding of a Wnt protein to a receptor on the surface of the target cell where activated receptors signal via downstream effectors that modulates the establishment of planar polarity contributing to neural tube closure. [GOC:ascb_2009, GOC:dph, GOC:tb]"
0.0049941,16477,cell migration,biological process,48870,cell motility,,,,,,,"The orderly movement of a cell from one site to another, often during the development of a multicellular organism or multicellular structure. [GOC:ems, GOC:pf]"
0.005566,42981,regulation of apoptotic process,biological process,43067,regulation of programmed cell death,,,,,,,"Any process that modulates the occurrence or rate of cell death by apoptotic process. [GOC:jl, GOC:mtg_apoptosis]"
0.0062759,2904,positive regulation of B cell apoptotic process,biological process,2902,regulation of B cell apoptotic process,70230,positive regulation of lymphocyte apoptotic process,,,,,"Any process that activates or increases the frequency, rate, or extent of B cell apoptosis. [GOC:add]"
0.0062759,21631,optic nerve morphogenesis,biological process,21602,cranial nerve morphogenesis,,,,,,,"The process in which the anatomical structure of the optic nerve is generated and organized. The sensory optic nerve originates from the bipolar cells of the retina and conducts visual information to the brainstem. The optic nerve exits the back of the eye in the orbit, enters the optic canal, and enters the central nervous system at the optic chiasm (crossing) where the nerve fibers become the optic tract just prior to entering the hindbrain. [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, GOC:mtg_15jun06, ISBN:0838580343]"
0.0062759,31641,regulation of myelination,biological process,51960,regulation of nervous system development,51969,regulation of transmission of nerve impulse,2000021,regulation of ion homeostasis,,,"Any process that modulates the frequency, rate or extent of the formation of a myelin sheath around nerve axons. [GOC:mah]"
0.0062759,43067,regulation of programmed cell death,biological process,10941,regulation of cell death,,,,,,,"Any process that modulates the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes. [GOC:jl]"
0.0062759,48675,axon extension,biological process,48588,developmental cell growth,60560,developmental growth involved in morphogenesis,,,,,"Long distance growth of a single process. [GOC:dgh, GOC:dph, GOC:jid, GOC:lm]"
0.0062759,60026,convergent extension,biological process,2009,morphogenesis of an epithelium,,,,,,,"The morphogenetic process in which an epithelium narrows along one axis and lengthens in a perpendicular axis. [GOC:dgf, GOC:dph, PMID:12062082]"
0.0067553,10811,positive regulation of cell-substrate adhesion,biological process,10810,regulation of cell-substrate adhesion,45785,positive regulation of cell adhesion,,,,,"Any process that increases the frequency, rate or extent of cell-substrate adhesion. Cell-substrate adhesion is the attachment of a cell to the underlying substrate via adhesion molecules. [GOC:dph, GOC:pf, GOC:tb]"
0.0067951,90103,cochlea morphogenesis,biological process,48598,embryonic morphogenesis,,,,,,,"The process in which the cochlea is generated and organized. [GOC:dph, GOC:tb]"
0.0083728,902,cell morphogenesis,biological process,32989,cellular component morphogenesis,,,,,,,"The developmental process in which the size or shape of a cell is generated and organized. [GOC:clt, GOC:dph, GOC:go_curators, GOC:tb]"
0.0083728,45665,negative regulation of neuron differentiation,biological process,45596,negative regulation of cell differentiation,45664,regulation of neuron differentiation,,,,,"Any process that stops, prevents, or reduces the frequency, rate or extent of neuron differentiation. [GOC:go_curators]"
0.0093766,42491,auditory receptor cell differentiation,biological process,60113,inner ear receptor cell differentiation,,,,,,,"The process in which a relatively unspecialized cell acquires specialized features of an auditory hair cell. [CL:0000201, GOC:jl]"
0.0099729,7264,small GTPase mediated signal transduction,biological process,35556,intracellular signal transduction,,,,,,,Any series of molecular signals in which a small monomeric GTPase relays one or more of the signals. [GOC:mah]
0.010224,7219,Notch signaling pathway,biological process,7166,cell surface receptor signaling pathway,,,,,,,"A series of molecular signals initiated by the binding of an extracellular ligand to the receptor Notch on the surface of a target cell, and ending with regulation of a downstream cellular process, e.g. transcription. [GOC:go_curators, GOC:signaling]"
0.011523,7156,homophilic cell adhesion,biological process,16337,cell-cell adhesion,,,,,,,The attachment of an adhesion molecule in one cell to an identical molecule in an adjacent cell. [ISBN:0198506732]
0.011523,51726,regulation of cell cycle,biological process,50794,regulation of cellular process,,,,,,,"Any process that modulates the rate or extent of progression through the cell cycle. [GOC:ai, GOC:dph, GOC:tb]"
0.012167,6208,pyrimidine base catabolic process,biological process,6206,pyrimidine base metabolic process,46113,nucleobase catabolic process,72529,pyrimidine-containing compound catabolic process,,,"The chemical reactions and pathways resulting in the breakdown of pyrimidine bases, 1,3-diazine, organic nitrogenous bases. [GOC:go_curators]"
0.012167,8595,"anterior/posterior axis specification, embryo",biological process,578,embryonic axis specification,9948,anterior/posterior axis specification,,,,,"The specification of the anterior/posterior axis of the embryo by the products of genes expressed maternally and genes expressed in the zygote. [http://fly.ebi.ac.uk/allied-data/lk/interactive-fly/aimain/1aahome.htm, ISBN:0879694238]"
0.012167,8637,apoptotic mitochondrial changes,biological process,7005,mitochondrion organization,,,,,,,The morphological and physiological alterations undergone by mitochondria during apoptosis. [GOC:mah]
0.012167,22409,positive regulation of cell-cell adhesion,biological process,22407,regulation of cell-cell adhesion,45785,positive regulation of cell adhesion,,,,,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]
0.012167,45746,negative regulation of Notch signaling pathway,biological process,8593,regulation of Notch signaling pathway,9968,negative regulation of signal transduction,,,,,"Any process that stops, prevents, or reduces the frequency, rate or extent of the Notch signaling pathway. [GOC:go_curators]"
0.012167,48170,positive regulation of long-term neuronal synaptic plasticity,biological process,48169,regulation of long-term neuronal synaptic plasticity,50769,positive regulation of neurogenesis,,,,,"A process that increases long-term neuronal synaptic plasticity, the ability of neuronal synapses to change long-term as circumstances require. Long-term neuronal synaptic plasticity generally involves increase or decrease in actual synapse numbers. [GOC:jid, http://www.mercksource.com, PMID:11891290]"
